text,label,summary
"- Contains miner spoilers - <br /><br />I have seen a number of decent Indie horror films such as The Hamiltons, The Boys Love Mandy Lane and Cabin Fever; unfortunately I felt Five Across the Eyes does not fall into this category. From start to finish the film is plagued with amateurish acting resonating from a very poor script, god only knows why the writer(s) thought dialogue such as ""No don't go out there; don't go out there she'll get you: if she gets you she'll kill you and if she kills you you're dead"" is of movie quality.<br /><br />This film displays very little character development and to be honest I couldn't care less about what pain and torture was inflicted upon them as they are just a group of ditsy college girls who show almost no redeeming qualities'. All they do is cry and whinge throughout the entire movie and if the girls aren't crying their arguing; when they do converse the topics are completely random: about dating boys or how one of the girls father was recently cremated (appropriate subjects when you're being chased by a psychotic killer).<br /><br />The soundtrack is also abysmal exhibiting corny techno music during both the start and end credits (although hearing the credit music knowing the end was nearing seemed like heaven).<br /><br />The camera-work is appalling and at times makes the film unwatchable. I'm guessing due to having little or no budget the director was limited to just one digital camera which resides in the girls' car almost the entire movie. I think this was an effort to stick the audience as close to the action as possible: to feel and experience what the girls are going through. But due to a very shaky camera, grainy picture and being too close to the action it can be hard to tell what is going on during action scenes and is simply chaotic. It's one thing to make a film subjective but it's another to have action on the screen that an audience can't decipher because of the poor cinematography.<br /><br />I understand that Five Across the Eyes is a low budget indie film but that does not excuse the extremely poor quality. There are no redeeming factors to this film: bad acting, poor scripting, shoddy camera-work and no story. In light off all this I decided to give the film 1 out of 10 as it left me very disappointed; wanting a meteor to hit the earth bringing me sweet relief. Its 94 minutes off stupid college girls crying, arguing, aimlessly running and having random inappropriate conversations. However, how many times do you get to see girls defecating into their hands and throwing the crap onto the windscreen of a chasing car.",0,"Five Across the Eyes is a low-budget indie horror film plagued by amateurish acting, poor script, lack of character development, abysmal soundtrack, and appalling camera-work, making it a disappointing and unwatchable experience with no redeeming factors."
"Director Kevin Connor and wannabe action-hero / romantic lead Doug McClure, re-team in this ghost story set in Japan. They had been moderately successful together in the 1970's, with the likes of 'The Land that Time Forgot' (1975), 'At the Earth's Core' (1976) etc. Without plastic monsters to carry the narrative along though, the results are shabby and derivative in the most corny way.<br /><br />The film begins with a prologue set in the 19th Century, with a samurai husband killing his wife and her lover before committing suicide. A move forward to the present introduces married couple Ted & Laura, visiting Japan and moving in to the house where the tragedy took place.<br /><br />No surprises as to what happens next, with the spirits of the dead starting to take over the new inhabitants with family friend Alex (McClure) assuming the role of the wife's lover.<br /><br />Everything rumbles clumsily along with the elegance and grace of a charging elephant, to an inevitable ( but surprisingly downbeat ) conclusion. Main points of interest are two feeble decapitations ( 'The Omen' has a lot to answer for in promoting this as a standard horror set-piece ), and the love-making scenes featuring the doe-eyed but extremely kinky Susan George. The first is a long 'Don't Look Now' inspired piece with her hubby, complete with piano music; the second a much shorter (probably at her insistence) entanglement with McClure, both looking pretty uncomfortable. Anyway, every cloud has a silver lining and both scenes show of her fantastic knockers so all is not lost.<br /><br />Overall I can't decide whether 'The House where Evil Dwells' is rubbish, watchable rubbish, or entertaining in a masochistic kind of way. If you're not into the genre there is nothing here at all, but for horror fans there is probably enough to provoke the odd rye smile and appreciative nod of respect for effort.<br /><br />BEST SCENE - in any other film the big, black, tree-climbing, Japanese-muttering mechanical crabs would have stolen the show. They are eclipsed though by the legendary family meal scene, where a ghostly head appears in the daughters soup. On seeing this apparition she asks what kind of soup it is (!!!!), to be told beef and vegetable, before uttering the immortal line ""Ugh - there's an awful face in my soup"". If this wasn't enough the reply is ""C'mon, eat your soup for Daddy."" Laurel & Hardy rest in piece.",0,"Kevin Connor and Doug McClure reunite in the derivative and corny ghost story 'The House where Evil Dwells', set in Japan, which features clumsy plot progression, awkward love-making scenes, and a few entertainingly bad moments, including a legendary family meal scene."
"I purchased this movie on blu-ray because it promised great visuals and music. I was also a great fan of a similar movie... Baraka. The movie is very much styled after Baraka, wide angles, very similar shots with cameras set to capture long time passage in each shot. Even some of the scenes were identical (the street with traffic). Whereas Baraka told a great story, juxtaposing nature, man-made environments, spirituality, and horrors of the world in an engrossing fashion and great music, this movie just jumped from shot to shot with no encompassing story, mediocre musical score, and then.... POOF, it's finished! I thought there must be some sort of mistake! History of the world? Half the movie is Egypt and landscape (looks like Arizona, but I didn't bother to check). Seriously folks, this is horrible, rent it if you must, but do not buy it. The filmmakers should be ashamed of themselves for putting this out.",0,"I purchased this movie on blu-ray expecting great visuals and music, but it failed to deliver a cohesive story, instead jumping from shot to shot with a mediocre score, and ending abruptly, making it a complete disappointment."
"***SPOILERS*** ***SPOILERS*** Are all teen slasher flicks suffering from a drought of originality? It awfully seems so. First of all, this is a noble premise that could've been utilized well. A rejected young nerd who grows up, stalks and murders all the girls who tortured the hell out of him when he was in junior high? Can't say you had nothing to work with. But this film goes through the same motions as all the other recent slashers. Everything from the score to the camera angles allow us to predict exactly when a false alarm is coming and exactly when the killer will strike. We know the pattern by now. These stupid slasher movies push the credibility envelope more and more by the minute. Let me ask you something: Who, in their right mind, is going to surprise a friend of theirs in a dark, dreary morgue in the middle of the night and just surprise her out of the blue while she's all alone and surrounded by corpses? Does that make any damn sense at all?<br /><br />""Valentine"" is only occasionally innovative. One good shot involves the butchering of Denise Richards' character. She gets trapped inside a pool and the killer pokes at her with a chainsaw. There's some good songs in the soundtrack, including one cool track by Orgy. The music video is contained in the special features section on the DVD.<br /><br />Even the acting is mediocre at best. The actors all sleep through their roles. Of course, David Boreanaz is often stoic, even in his portrayal as the title character on ""Angel."" Denise Richards is a fine actress, though, and she keeps a stoneface throughout the movie.<br /><br />""Valentine"" is just like you'd expect: pretentious, implausible, forgettable, cheesy and without a good scare in sight. Don't even bother.<br /><br />My score: 4 (out of 10)",0,"The teen slasher film 'Valentine' suffers from a lack of originality, predictability, and mediocrity in its acting, score, and camera angles, making it pretentious, implausible, forgettable, cheesy, and without a good scare in sight."
"Ironically, although he can do the ""splits"", Thomas is a complete stiff as an actor. <br /><br />This film is seared into my memory as one of the most side-splittingly cheesy and incompetent movies I have ever seen. As such, I'm actually rather fond of it. <br /><br />Still,the only reason this gets more than one star is that Thomas is great shape, and it's fun to see his tiny, muscular body performing various feats of gymnastic skill on the oddly shaped rocks and poles scattered about the East European country side (including the infamous ""pommel horse"" shaped well cap in the middle of a village square that Thomas uses to plant his feet in the faces of various insane villagers). But let the poor guy open his mouth and try to emote, and any illusion that he might have a film career is immediately dashed to bits. <br /><br />Thomas at least had the excuse that he wasn't really an actor. Everyone else in the film - actors, director, editor, camera guys, etc. is at least as bad, or even worse, and most of them are professionals. So Kurt doesn't come off quite as badly as you might think. <br /><br />I hope poor Kurt took the money and ran. If anyone ever asks him to perform in a martial arts film again, I'll bet that Thomas kicks the guy in the face.",0,"This hilariously bad martial arts film is memorable for its cheesiness and incompetence, with Thomas exhibiting impressive physical skills but atrocious acting, while the rest of the cast and crew are equally terrible despite being professionals."
"good lord! (and that coming from an atheist), this ""movie"" is bad !<br /><br />much has already been said by the reviewers before (the ones who rated this piece 3 and below) to which I fully agree, I just like to add a few things: <br /><br />among the three guys who had to eat their own digestive end products, got chopped up by an Axe, raped by a broomstick, had their balls blown away - the ex-boyfriend suffers the worst torture while having to listen to the girl's endless and pointless babble at the kitchen table (as do we, but at least we have the mercy of the mute button).<br /><br />had the director cut out the point- and endless graveyard and inverted scenes, our suffering would have been over after 30 minutes.<br /><br />the only things that made this flick at least somewhat bearable are Emily Haack's tits (one point).<br /><br />forget it. don't buy it. don't waste your time. and your sanity. my brain is so fried after watching this I feel the urgent need to watch (and suffer?) ""Scrapbook"" right now.",0,"This awful movie is unbearable, with pointless scenes, excessive torture, and only Emily Haack's performance making it slightly tolerable, so don't waste your time or sanity on it."
"Gene Hackman gets himself busted out of prison by a nameless government agency who want him for an assassination. It's a given of course that Hackman has the proficient skills for the job.<br /><br />Nobody tells him anything though, he's given as the audience is given bits and pieces of information. That's supposed to be suspenseful, instead it's annoying and boring. <br /><br />Hackman goes through with the mission, but the getaway is messed up and the guy at the top of this mysterious entity orders everybody dead to cover it up. So everyone in the cast dies and at the end you don't really care.<br /><br />One of the other reviewers pointed out that the film was originally twice as long, almost three hours and got chopped down quite a bit. Maybe something really was lost in the translation, but I tend to think it was a mercy act on the audience.<br /><br />A very talented cast that had people like Richard Widmark, Candice Bergen, Mickey Rooney, Eli Wallach, and Edward Albert is so thoroughly wasted here it's a crime. <br /><br />And we never do find out just what federal agency was doing all this, the FBI, the CIA, the DEA or even the IRS.",0,"Gene Hackman is released from prison by a mysterious government agency to perform an assassination, but the mission goes awry, leading to a series of deaths and unanswered questions about the agency's identity."
"This is the worst movie I have ever seen, and I have seen quite a few movies. It is passed off as an art film, but it is really a piece of trash. It's one redeeming quality is the beautiful tango dancing, but that cannot make up for Sally Potter's disgustingly obvious tribute to herself. The plot of this movie is nonexistent, and I guarantee you will start laughing by the end. Especially where she starts singing. It's absolutely unreal.",0,"This movie is a pretentious, plotless disaster with only one redeeming quality, its beautiful tango dancing, and is ultimately a laughable, self-indulgent tribute to its director, Sally Potter."
"Wow. I have seen some really bad movies in my time, but this one truly takes the cake. It's the worst movie I've seen in the past decade - no exaggeration.<br /><br />As a US Army veteran of the war in Afghanistan, I found it nearly impossible to even finish watching this ridiculous film, not because it brought back memories - far from it - but because there was absolutely no attempt at ""authenticity"" to be found anywhere in the film. Not so much as the tiniest little shred. It seemed like it had been written by an 8 year-old child who got all his notions of war (and soldierly behavior) straight out of comic books. The film was made in Honduras, which should have been a clue, but even that can't fully explain the atrocious production values of this cliché-ridden piece of trash.<br /><br />I could try to list all the endless technical flaws, but it would take virtually forever. From the ancient unit shoulder patches which have not been seen or worn since WWII, and the character's name tags, like ""ColCollins"" (worn by the character ""Colonel Collins""), which was actually spelled using the reversed, mirror-image ""N"" of the Russian alphabet (not the US alphabet) the list just goes on and on. The uniforms, the equipment, the plot, and most especially the behavior of the characters themselves -- every single scene was just chock-full of ridiculous flaws, inaccuracies and utterly mindless clichés.<br /><br />Neither the storyline itself nor the characters were the least bit credible or believable. It was all laughably childish, in the extreme. This was obviously a movie that was meant to appeal strictly to pre-pubescent boys, and I have little doubt that even they would find this film utterly absurd.<br /><br />In short, this film has absolutely NO redeeming qualities at all. It's a total waste of time. I'd strongly advise anybody reading this to pass this garbage by; it's truly not worth wasting a single moment of your time for.",0,"This movie is a complete waste of time, with no redeeming qualities, ridiculous flaws, and laughable inaccuracies that make it impossible to watch, especially as a US Army veteran, and I strongly advise against wasting a single moment of time on it."
"Renowned cinematographer Freddie Francis (Glory, The Elephant Man) directs this pretty bad horror/drama film. 19th Century England has a different view of how the practice of medicine should be handled than Dr. Thomas Rock, the law stating that only the bodies of hung criminals can be studied and experimented on. But the stockpile of these bodies is a small one, and Rock needs more - and he prefers them fresher. Being a maverick within his circle, he begins to pay people to find bodies for him to study and test on. Desperate sleazebags Robert Fallon and Timothy Broom get wind of this job opportunity and begin to murder people and sell these bodies to Rock. Naturally, this kind of action has even worse consequences than practicing on the dead bodies of non-criminals, and leads to trouble for everyone. While the overall story sounds intriguing on paper, almost everything about The Doctor And The Devils is laughably bad.<br /><br />After the first fifteen minutes of the film you are already beginning to question your decision of sitting down to watch the film. The entire look of the film is just ugly. Seeing as how the film takes place in the slums of England during the 19th Century, the filmmakers were probably going for an ""ugly"" look, but they don't do it in an artful way. Everything from the sets to the cinematography just look cheap, feeble, and disgusting. Also, just about everything scene is filled with something that you simply cannot take seriously, and most of the time this has to do with someone (both in the small and large roles) doing something that looks or sounds completely ridiculous. Francis sure didn't help out his actors much.<br /><br />Jonathan Pryce and Stephen Rea play the twisted buddies of the film, Fallon and Broom respectively, and are very bombastic but very bad. Their characters are by nature crazy, but Pryce and Rea overact the parts to death. They especially have trouble keeping the same accent from shot to shot - Pryce in particular goes from Cockney to Irish to Long John Silver to some kind of lagoon creature and so on and so forth. It's also a humor riot to see Twiggy in this film at all, let alone playing an in-demand street whore, since she can't act to save her life (though her song during the final credits isn't so funny). Boy she sure came a long way: from ""flower power"" to ""I'll take mee clothes off for a shillin'!"" As bad as those three actors are in this film, Julian Sands takes home the award for the worst performance of the film. He is just as lame as it gets, giving one laugh-out-loud attempt after another at portraying anger, love, happiness, anxiety - pick an emotion, any emotion! <br /><br />There's only one good thing about The Doctor And The Devils: Timothy Dalton's performance of Dr. Rock. Despite being surrounded by cinematic sewage, Dalton is quite excellent; giving an electric portrayal of an overly driven yet good natured man. Too bad the rest of the film could not have been as good as Mr. Dalton....",0,"The Doctor and the Devils, a horror/drama film directed by Freddie Francis, is a poorly made movie with a strong performance from Timothy Dalton as Dr. Rock, but is otherwise marred by bad acting, cheap sets, and a laughably bad overall production."
"I grew up (b. 1965) watching and loving the Thunderbirds. All my mates at school watched. We played ""Thunderbirds"" before school, during lunch and after school. We all wanted to be Virgil or Scott. No one wanted to be Alan. Counting down from 5 became an art form. I took my children to see the movie hoping they would get a glimpse of what I loved as a child. How bitterly disappointing. The only high point was the snappy theme tune. Not that it could compare with the original score of the Thunderbirds. Thankfully early Saturday mornings one television channel still plays reruns of the series Gerry Anderson and his wife created. Jonatha Frakes should hand in his directors chair, his version was completely hopeless. A waste of film. Utter rubbish. A CGI remake may be acceptable but replacing marionettes with Homo sapiens subsp. sapiens was a huge error of judgment.",0,"I have fond memories of watching Thunderbirds as a child, but was bitterly disappointed by the live-action movie remake, preferring the original series with its iconic score and marionettes over the CGI remake and its Homo sapiens casting."
"I rented this film yesterday mostly due to the good-looking art and the summary given on the back of the jacket. After popping it into my DVD player I re-examined the jacket cover and even though I took the cover out of from the plastic viewer, I STILL could not read any of the production detail information about the film. This film is entitled Evil on the Jacket and had to locate it by going to Faith Films website to find out any linkage to it here on IMDb.<br /><br />The filming and special affects done in the film looked quite good ... THEN, a line-reading actor spoke. Oh dear ... this actor's reading sounded like some pimple-faced high school jock whose voice just managed to change pitch, and no attempt given to go beyond reading the lines from the script. At first I thought I got a bad disc out of audio sync, then had to surmise it was a foreign film since I couldn't read the jacket... English dialog dubbed. If they'd casted the right person for dubbing the dialog, this film MIGHT have been decent. I gave it a chance of about 20 minutes before ejecting it when I discovered the bad line reader wasn't going to get killed off, but stay as the constant main fixture. Yes, it is THAT bad! The jacket cover art and the art done in the film are great, so gave the one star, but minus 1,999,999 stars for the rotten dialog. I do not recommend this one!",0,"I rented a film called Evil on the Jacket based on its attractive art and summary, but was disappointed by the poor line reading and dubbing, which made the film unwatchable despite its good filming and special effects."
"The cult of personality has elevated the status of Roger Corman, Sam Arkoff, Lloyd Kaufman etc. as kings of the B's. Because the folks at Crown International were so key, they haven't been elevated to the status they richly deserve. A film like THE VAN may now seem like a disposable piece of Drive-in esoteria, but it was a sizable hit when it was released (not to mention subsequent re-releases as a double feature with other Crown hits).<br /><br />THE VAN was a perfect example of Crown's hit strategy of seizing upon the mood of movie-goers at the time of a film's release. Here, it was sex, drugs, rock 'n roll and the brief ""Custom Van"" fad. As others have noted, it is ironic that the ""hit"" song in the film refers to a Chevy when the title vehicle is a Dodge in the film itself. I had a town Selectman where I was at the time even declare these vans to be ""dens of sin on wheels!"" A perfect ad line for the film!<br /><br />There are the usual assortment of ""good"" and ""bad"" girls, muscle-heads and low-brow hijinks (including a supporting bit by Danny DeVito). In many ways this isn't much different from the old Beach Party movies of the 60's, but now spiced up with Nudity and Drug use. Obviously done on a limited budget and a limited schedule, the film coasts along pleasantly enough with a breezy charm that compensates for some, by today's standards certainly, un-PC views of women.<br /><br />The classic touch is a Toaster for Bobby's den of sin on wheels. Yes, a Toaster! Hey, you gotta have something hot for those munchies!<br /><br />Grindhouse Fest.",0,"The cult of personality has overlooked the significance of Crown International, whose films like THE VAN, a sizable hit that capitalized on the 1970s desire for sex, drugs, and rock 'n roll, showcased the company's strategy of tapping into the mood of movie-goers at the time of release."
"This is the kind of movie that my enemies content I watch all the time, but it's not bloody true. I only watch it once in a while to make sure that it's as bad as I first thought it was.<br /><br />Some kind of mobsters hijack a Boeing 747. (That, at least, is an improvement over having Boeing hijack a good part of the Pentagon.) The airplane goes down in the Bermuda triangle and sinks pressurized to the bottoms, a kind of post-facto submarine.<br /><br />It has one of those all-star casts, the stars either falling or barely above the horizon.<br /><br />""We're on our own!"", says pilot Jack Lemon. He is so right. Except for George Kennedy. He's in all these disaster movies.<br /><br />Watch another movie instead. Oh, not ""Airport"" the original. That's no good either. Instead, watch a decent flick about stuck airplanes like ""Flight of the Phoenix.""",0,"I occasionally rewatch this terrible movie, about mobsters hijacking a 747 that crashes in the Bermuda triangle, to confirm its badness, despite its all-star cast, and would recommend skipping it for a better film like 'Flight of the Phoenix' instead."
"Well, I can once and for all put an end to the question: 'What is the worst movie ever made...ever?' It is Flight of Fury, starring and co-written by Steven Seagal. Sure there are lots of famously bad movies, but this one takes the cake in that it takes itself so seriously.<br /><br />It is a Romanian-made film that speaks to just how far Romania has to go to catch up with Bollywood. It also speaks to just how utterly devoid of intellect and talent Steven Seagal has become. This movie is so bad that you literally feel violated after watching it and need to crouch in the corner of the shower and cry, knowing that nothing will make you feel clean again.<br /><br />It was released only on video (I can't imagine why) and I suspect the workers that had to make the DVD's had to wear protective gear and receive regular counseling.",0,"Flight of Fury, a Romanian-made film starring and co-written by Steven Seagal, is the worst movie ever made, so bad that it leaves viewers feeling violated and in need of cleansing."
"The best thing about camp films in general is that you know what to expect. It's like watching a professional wrestling match or a day time soap opera or a Jerry Springer show: you immediately can follow the skimpy plot, identify the cardboard characters, and watch in satisfaction while all the cliches are being fulfilled. However, at times, the director does something real unexpected. It may be something extraordinarily stupid, or something weird, or something insightful. The director Makinen is up there with the best camp directors, and this is his best movie.<br /><br />In Yon saalistajat, everything seems to come together. There's nothing good about it, but still manages to be a coherent whole. Not once does the movie slow down - the action flows on and punches keep on coming.<br /><br />The weirdest thing is that there's no sense of time: some characters seem to take months doing something while other characters have only spent one hour at a bar. This is partially due to Finnish summer where the sun never sets, so you don't experience the day turning into a night at all.<br /><br />Finally: there is a plot, there, somewhere. You may have to watch the movie three times before you realize it, though.",0,"Camp films, like professional wrestling or daytime soap operas, offer predictable plots and characters, but occasionally surprise with unexpected moments, as seen in Yon saalistajat, a coherent and fast-paced film with a hidden plot that may require multiple viewings to uncover."
"In its depiction of a miserable Milanese underclass, this film was probably quite revealing in its day. However, I get the feeling that neorealism was never really director De Sica's bag, since here he decided to try and create some sort of modern fable centring around a boy that had been found in a cabbage patch by an old dear in the country. After spending most of his childhood in an orphanage, Toto ends up living in a shantytown in Milan. He organises the inhabitants into community action, and keeps their spirits up by swanning around with an annoyingly constant smile on his face and testing them on their times tables. That nobody tells him where to stick his times tables is beyond me, as these people have far more important things to think about, like where the next Pot Noodle is going to come from. Anyway, De Sica then uses a sublimely subtle dramatic device in order to highlight exactly why these poor sods are where they are. It's all down to capitalism of course, and in order to illustrate this, he has the miserables discover a fountain of oil on their land. Brilliant! To his credit, though, by this time he has given up on making a serious film, and the capitalists appear as severe caricatures, all fur coats and cigars. They want that land, but our mathematical hero will not support such nonsense. By a bizarre stroke of luck, his old, deceased guardian from the cabbage patch days appears in the sky and gives him a magic dove. He uses it to shower gifts on his mates, who prove just as greedy as the cigar men. I reckon this film was a missed opportunity. To address the theme of poverty , as not many film-makers had done until then, and then get caught up in a fairy tale, to me seems a bit daft. How come 'great' directors get away with child-like plot turns like the ones we see here? Hans Christian Anderson would probably have balked at the idea of having the poor folk flying off over the Milan Duomo and on to a higher place on broomsticks. De Sica, however, is proclaimed as a genius for this. Surely the fact that these people are so poor, that their faith is unswerving, and that miracles never happen to them, is enough for any story-teller to work on.<br /><br />",0,"This film, despite its promising depiction of Milan's underclass, falls short by abandoning realism for a fanciful tale of magic doves and flying broomsticks, undermining its impact and theme of poverty."
