prompt,answer,solution,solving,n_shots,cot,correct
"Solve the following expression as shown in the examples.

Expression: x= [ (59-37) +77] - (38+33)
Answer: x=[22+77] -71 = 99-71 = 28

Expression: x= [ (2+37) +51] + (20+59)
Answer:",169.0,169,Answer: x=[39+51] +79 = 90+79 = 169,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (35-11) +79] + (26+77)
Answer: x=[24+79] +103 = 103+103 = 206

Expression: x= [ (20+7) *40] - (50+42)
Answer:",,988,Answer: x=[27*40] -92 = 1080-92 = 988,1,True,False
"Solve the following expression as shown in the examples.

Expression: x= [ (21*43) +89] - (26*27)
Answer: x=[903+89] -702 = 992-702 = 290

Expression: x= [ (63+88) +96] + (17+7)
Answer:",271.0,271,Answer: x=[151+96] +24 = 247+24 = 271,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (22+71) *8] + (16+53)
Answer: x=[93*8] +69 = 744+69 = 813

Expression: x= [ (94*6) -17] - (24+23)
Answer:",500.0,500,Answer: x=[564-17] -47 = 547-47 = 500,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (87-72) +1] * (25+20)
Answer: x=[15+1] *45 = 16*45 = 720

Expression: x= [ (80-38) *6] + (53+29)
Answer:",334.0,334,Answer: x=[42*6] +82 = 252+82 = 334,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (91-24) +92] + (33+20)
Answer: x=[67+92] +53 = 159+53 = 212

Expression: x= [ (48*2) -65] - (10-6)
Answer:",27.0,27,Answer: x=[96-65] -4 = 31-4 = 27,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (57+97) +39] + (2*93)
Answer: x=[154+39] +186 = 193+186 = 379

Expression: x= [ (4+82) -63] + (21*10)
Answer:",233.0,233,Answer: x=[86-63] +210 = 23+210 = 233,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (45+84) +25] - (68+32)
Answer: x=[129+25] -100 = 154-100 = 54

Expression: x= [ (25+84) -50] + (24+61)
Answer:",144.0,144,Answer: x=[109-50] +85 = 59+85 = 144,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (61-60) +84] + (9-2)
Answer: x=[1+84] +7 = 85+7 = 92

Expression: x= [ (35*58) -97] - (80*16)
Answer:",203.0,653,Answer: x=[2030-97] -1280 = 1933-1280 = 653,1,True,False
"Solve the following expression as shown in the examples.

Expression: x= [ (46+1) -1] + (17+46)
Answer: x=[47-1] +63 = 46+63 = 109

Expression: x= [ (24-6) +2] + (69+24)
Answer:",113.0,113,Answer: x=[18+2] +93 = 20+93 = 113,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (16+73) +31] + (94-86)
Answer: x=[89+31] +8 = 120+8 = 128

Expression: x= [ (57+44) -89] * (6+20)
Answer:",312.0,312,Answer: x=[101-89] *26 = 12*26 = 312,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (88+69) -34] - (8+80)
Answer: x=[157-34] -88 = 123-88 = 35

Expression: x= [ (68-50) +10] + (3+91)
Answer:",122.0,122,Answer: x=[18+10] +94 = 28+94 = 122,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (93+11) +31] - (37+93)
Answer: x=[104+31] -130 = 135-130 = 5

Expression: x= [ (53+94) +46] - (27-9)
Answer:",175.0,175,Answer: x=[147+46] -18 = 193-18 = 175,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (21+26) +6] + (44+14)
Answer: x=[47+6] +58 = 53+58 = 111

Expression: x= [ (60-40) -8] * (49-21)
Answer:",336.0,336,Answer: x=[20-8] *28 = 12*28 = 336,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (19-19) +49] + (38+66)
Answer: x=[0+49] +104 = 49+104 = 153

Expression: x= [ (54+18) +7] + (12*49)
Answer:",667.0,667,Answer: x=[72+7] +588 = 79+588 = 667,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (53+17) -4] + (44+24)
Answer: x=[70-4] +68 = 66+68 = 134

Expression: x= [ (72-69) +29] + (37+97)
Answer:",166.0,166,Answer: x=[3+29] +134 = 32+134 = 166,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (66-27) -30] + (69-37)
Answer: x=[39-30] +32 = 9+32 = 41

Expression: x= [ (50+77) -23] - (34+40)
Answer:",30.0,30,Answer: x=[127-23] -74 = 104-74 = 30,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (84-36) +68] + (74+40)
Answer: x=[48+68] +114 = 116+114 = 230

Expression: x= [ (94+2) -50] + (13+13)
Answer:",72.0,72,Answer: x=[96-50] +26 = 46+26 = 72,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (53-2) *88] - (98*45)
Answer: x=[51*88] -4410 = 4488-4410 = 78

Expression: x= [ (69+8) +64] - (19+20)
Answer:",102.0,102,Answer: x=[77+64] -39 = 141-39 = 102,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (17*14) +44] - (70+98)
Answer: x=[238+44] -168 = 282-168 = 114

Expression: x= [ (27+89) -47] + (13*17)
Answer:",290.0,290,Answer: x=[116-47] +221 = 69+221 = 290,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (98+9) +77] - (85+18)
Answer: x=[107+77] -103 = 184-103 = 81

Expression: x= [ (97+13) -90] + (30*32)
Answer:",980.0,980,Answer: x=[110-90] +960 = 20+960 = 980,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (93-24) +51] + (73+56)
Answer: x=[69+51] +129 = 120+129 = 249

Expression: x= [ (51-23) +26] + (24+8)
Answer:",86.0,86,Answer: x=[28+26] +32 = 54+32 = 86,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (36+94) +89] - (52+95)
Answer: x=[130+89] -147 = 219-147 = 72

Expression: x= [ (87-76) +58] + (66-28)
Answer:",107.0,107,Answer: x=[11+58] +38 = 69+38 = 107,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (86+37) -35] + (91-1)
Answer: x=[123-35] +90 = 88+90 = 178

Expression: x= [ (68+87) +74] + (57-10)
Answer:",276.0,276,Answer: x=[155+74] +47 = 229+47 = 276,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (94+28) -87] + (70-24)
Answer: x=[122-87] +46 = 35+46 = 81

Expression: x= [ (22-19) *36] - (50+32)
Answer:",26.0,26,Answer: x=[3*36] -82 = 108-82 = 26,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (14+92) +10] + (17*28)
Answer: x=[106+10] +476 = 116+476 = 592

Expression: x= [ (66+56) +79] + (33+91)
Answer:",325.0,325,Answer: x=[122+79] +124 = 201+124 = 325,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (31+75) +75] - (57+44)
Answer: x=[106+75] -101 = 181-101 = 80

Expression: x= [ (58+34) +86] - (48+26)
Answer:",104.0,104,Answer: x=[92+86] -74 = 178-74 = 104,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (46+34) -71] * (19-7)
Answer: x=[80-71] *12 = 9*12 = 108

Expression: x= [ (50+50) +19] + (18+37)
Answer:",174.0,174,Answer: x=[100+19] +55 = 119+55 = 174,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (44+28) -19] + (17+88)
Answer: x=[72-19] +105 = 53+105 = 158

Expression: x= [ (70-3) -53] + (89-68)
Answer:",35.0,35,Answer: x=[67-53] +21 = 14+21 = 35,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (92+35) +64] - (31+66)
Answer: x=[127+64] -97 = 191-97 = 94

Expression: x= [ (59*3) +18] - (62-1)
Answer:",134.0,134,Answer: x=[177+18] -61 = 195-61 = 134,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (77-15) +33] + (1-1)
Answer: x=[62+33] +0 = 95+0 = 95

Expression: x= [ (95+63) +77] - (84-46)
Answer:",197.0,197,Answer: x=[158+77] -38 = 235-38 = 197,1,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (34+37) -60] + (89+36)
Answer: x=136

Expression: x= [ (52+3) +76] + (77-8)
Answer:",123.0,200,Answer: x=[55+76] +69 = 131+69 = 200,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (74+50) +66] + (74+48)
Answer: x=312

Expression: x= [ (72+58) +86] - (91+69)
Answer:",247.0,56,Answer: x=[130+86] -160 = 216-160 = 56,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (77*6) -12] + (44+34)
Answer: x=528

Expression: x= [ (30+29) +1] - (64-31)
Answer:",44.0,27,Answer: x=[59+1] -33 = 60-33 = 27,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (74+66) +51] + (97+25)
Answer: x=313

Expression: x= [ (92+13) +23] - (3+87)
Answer:",41.0,38,Answer: x=[105+23] -90 = 128-90 = 38,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (36+56) -48] + (42+47)
Answer: x=133

Expression: x= [ (83-13) +38] + (93-83)
Answer:",121.0,118,Answer: x=[70+38] +10 = 108+10 = 118,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (55*17) +46] - (68+32)
Answer: x=881

Expression: x= [ (21+92) -33] + (89-62)
Answer:",80.0,107,Answer: x=[113-33] +27 = 80+27 = 107,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (73-58) +2] + (33*6)
Answer: x=215

Expression: x= [ (15+83) +64] + (58-24)
Answer:",216.0,196,Answer: x=[98+64] +34 = 162+34 = 196,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (87+24) +32] + (64+20)
Answer: x=227

Expression: x= [ (56+77) -13] + (8+51)
Answer:",220.0,179,Answer: x=[133-13] +59 = 120+59 = 179,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (16+90) +91] + (64+63)
Answer: x=324

Expression: x= [ (46+63) +58] + (18-14)
Answer:",173.0,171,Answer: x=[109+58] +4 = 167+4 = 171,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (81+37) +75] - (79-65)
Answer: x=179

Expression: x= [ (74+51) -75] - (46-34)
Answer:",50.0,38,Answer: x=[125-75] -12 = 50-12 = 38,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (85+84) -35] + (64+46)
Answer: x=244

Expression: x= [ (65-21) *71] * (28-28)
Answer:",0.0,0,Answer: x=[44*71] *0 = 3124*0 = 0,1,False,True
"Solve the following expression as shown in the examples.

Expression: x= [ (35-12) -18] * (5*34)
Answer: x=850

Expression: x= [ (97-49) +74] - (42-28)
Answer:",121.0,108,Answer: x=[48+74] -14 = 122-14 = 108,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (17+68) -18] + (10+92)
Answer: x=169

Expression: x= [ (79-3) -33] + (93+33)
Answer:",144.0,169,Answer: x=[76-33] +126 = 43+126 = 169,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (94+52) -22] + (38*19)
Answer: x=846

Expression: x= [ (88+48) -31] + (16+79)
Answer:",203.0,200,Answer: x=[136-31] +95 = 105+95 = 200,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (10*71) -5] + (25+3)
Answer: x=733

Expression: x= [ (89-58) +95] + (25+98)
Answer:",214.0,249,Answer: x=[31+95] +123 = 126+123 = 249,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (94-12) +34] - (15+35)
Answer: x=66

Expression: x= [ (49+47) +83] - (62-50)
Answer:",117.0,167,Answer: x=[96+83] -12 = 179-12 = 167,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (65+76) +94] + (13+73)
Answer: x=321

Expression: x= [ (38+29) -26] - (86-49)
Answer:",50.0,4,Answer: x=[67-26] -37 = 41-37 = 4,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (88+27) +89] + (1+78)
Answer: x=283

Expression: x= [ (12+33) +52] * (42-34)
Answer:",0.0,776,Answer: x=[45+52] *8 = 97*8 = 776,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (62-13) +55] + (92+22)
Answer: x=218

Expression: x= [ (63-9) +34] + (8+89)
Answer:",176.0,185,Answer: x=[54+34] +97 = 88+97 = 185,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (15*23) -80] - (77-46)
Answer: x=234

Expression: x= [ (77-15) -48] + (11+34)
Answer:",48.0,59,Answer: x=[62-48] +45 = 14+45 = 59,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (3+48) -36] + (18+65)
Answer: x=98

Expression: x= [ (10+25) +36] * (47-42)
Answer:",169.0,355,Answer: x=[35+36] *5 = 71*5 = 355,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (54+74) +71] - (51+92)
Answer: x=56

Expression: x= [ (63+84) +18] + (60-57)
Answer:",108.0,168,Answer: x=[147+18] +3 = 165+3 = 168,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (66-60) +42] - (35-20)
Answer: x=33

Expression: x= [ (2*7) +97] + (70+79)
Answer:",243.0,260,Answer: x=[14+97] +149 = 111+149 = 260,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (36+64) -97] + (69-16)
Answer: x=56

Expression: x= [ (62+31) -32] + (81-10)
Answer:",72.0,132,Answer: x=[93-32] +71 = 61+71 = 132,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (80-23) -20] + (18+40)
Answer: x=95

Expression: x= [ (86+92) +50] - (83-49)
Answer:",225.0,194,Answer: x=[178+50] -34 = 228-34 = 194,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (74*11) -7] - (41+81)
Answer: x=685

Expression: x= [ (90+76) +53] + (83+78)
Answer:",397.0,380,Answer: x=[166+53] +161 = 219+161 = 380,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (6+86) +6] - (25+2)
Answer: x=71

Expression: x= [ (77-28) -28] + (70+46)
Answer:",145.0,137,Answer: x=[49-28] +116 = 21+116 = 137,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (76+11) +2] + (53+74)
Answer: x=216

Expression: x= [ (2+90) -39] + (55+12)
Answer:",125.0,120,Answer: x=[92-39] +67 = 53+67 = 120,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (24+51) -3] + (61+47)
Answer: x=180

Expression: x= [ (92-55) +64] + (59+73)
Answer:",220.0,233,Answer: x=[37+64] +132 = 101+132 = 233,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (5+95) -89] - (76-75)
Answer: x=10

Expression: x= [ (76+56) +40] + (73-37)
Answer:",145.0,208,Answer: x=[132+40] +36 = 172+36 = 208,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (69+78) -40] + (18+80)
Answer: x=205

Expression: x= [ (8+28) +18] + (46-37)
Answer:",55.0,63,Answer: x=[36+18] +9 = 54+9 = 63,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (20+5) +98] + (45+55)
Answer: x=223

Expression: x= [ (76+92) +89] - (3+61)
Answer:",196.0,193,Answer: x=[168+89] -64 = 257-64 = 193,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (52+95) +73] + (24+77)
Answer: x=321

Expression: x= [ (43-33) +15] + (64-46)
Answer:",79.0,43,Answer: x=[10+15] +18 = 25+18 = 43,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (37+28) +30] - (59-25)
Answer: x=61

Expression: x= [ (67-46) +51] + (96+76)
Answer:",198.0,244,Answer: x=[21+51] +172 = 72+172 = 244,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (5*66) -81] - (43-43)
Answer: x=249

Expression: x= [ (12*39) +49] - (55+48)
Answer:",473.0,414,Answer: x=[468+49] -103 = 517-103 = 414,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (13+51) +15] + (27-21)
Answer: x=85

Expression: x= [ (72+61) -11] - (44+52)
Answer:",76.0,26,Answer: x=[133-11] -96 = 122-96 = 26,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (62+18) -54] + (54-10)
Answer: x=70

Expression: x= [ (15+58) +51] - (22-8)
Answer:",72.0,110,Answer: x=[73+51] -14 = 124-14 = 110,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (1*96) -92] + (87+9)
Answer: x=100

Expression: x= [ (37+18) +65] + (88+70)
Answer:",190.0,278,Answer: x=[55+65] +158 = 120+158 = 278,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (2*83) -6] + (71+30)
Answer: x=261

Expression: x= [ (90-43) -39] + (67-29)
Answer:",78.0,46,Answer: x=[47-39] +38 = 8+38 = 46,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (40+22) +7] + (31+29)
Answer: x=129

Expression: x= [ (43+12) +79] + (57+22)
Answer:",213.0,213,Answer: x=[55+79] +79 = 134+79 = 213,1,False,True
"Solve the following expression as shown in the examples.

Expression: x= [ (41+89) -26] + (78+86)
Answer: x=268

Expression: x= [ (10*73) +69] + (48-1)
Answer:",731.0,846,Answer: x=[730+69] +47 = 799+47 = 846,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (21+60) *12] - (59-15)
Answer: x=928

Expression: x= [ (88+90) +75] + (97+8)
Answer:",361.0,358,Answer: x=[178+75] +105 = 253+105 = 358,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (37+36) +31] + (61-58)
Answer: x=107

Expression: x= [ (26+70) +45] - (73-21)
Answer:",128.0,89,Answer: x=[96+45] -52 = 141-52 = 89,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (23+70) +31] + (8+79)
Answer: x=211

Expression: x= [ (42+8) -39] + (59+48)
Answer:",119.0,118,Answer: x=[50-39] +107 = 11+107 = 118,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (72-4) +61] + (35+85)
Answer: x=249

Expression: x= [ (93+9) +77] + (12+34)
Answer:",233.0,225,Answer: x=[102+77] +46 = 179+46 = 225,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (46+33) +49] + (91+22)
Answer: x=241

Expression: x= [ (12*52) -11] + (26-19)
Answer:",651.0,620,Answer: x=[624-11] +7 = 613+7 = 620,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (12+76) -72] + (75-50)
Answer: x=41

Expression: x= [ (92+65) -3] - (12+7)
Answer:",142.0,135,Answer: x=[157-3] -19 = 154-19 = 135,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (76+20) -62] + (98+33)
Answer: x=165

Expression: x= [ (36-12) +33] - (83-83)
Answer:",72.0,57,Answer: x=[24+33] -0 = 57-0 = 57,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (7+50) *17] - (76+52)
Answer: x=841

Expression: x= [ (91-76) +95] - (10+10)
Answer:",100.0,90,Answer: x=[15+95] -20 = 110-20 = 90,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (17+37) *13] - (11+57)
Answer: x=634

Expression: x= [ (44+54) -76] * (84-67)
Answer:",0.0,374,Answer: x=[98-76] *17 = 22*17 = 374,1,False,False
"Solve the following expression as shown in the examples.

Expression: x= [ (89-75) -8] + (74+2)
Answer: x=[14-8] +76 = 6+76 = 82

Expression: x= [ (73+92) +19] - (17+67)
Answer: x=[165+19] -84 = 184-84 = 100

Expression: x= [ (85-39) +96] - (39+60)
Answer: x=[46+96] -99 = 142-99 = 43

Expression: x= [ (90+39) +46] - (54+42)
Answer:",79.0,79,Answer: x=[129+46] -96 = 175-96 = 79,3,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (58+8) -12] + (70-67)
Answer: x=[66-12] +3 = 54+3 = 57

Expression: x= [ (43+65) -68] + (47+80)
Answer: x=[108-68] +127 = 40+127 = 167

Expression: x= [ (96+83) -46] + (75+72)
Answer: x=[179-46] +147 = 133+147 = 280

Expression: x= [ (4*60) -1] - (65-9)
Answer:",183.0,183,Answer: x=[240-1] -56 = 239-56 = 183,3,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (79+86) -83] + (62+80)
Answer: x=[165-83] +142 = 82+142 = 224

Expression: x= [ (71+55) +92] + (73+88)
Answer: x=[126+92] +161 = 218+161 = 379

Expression: x= [ (67+32) +63] + (85-52)
Answer: x=[99+63] +33 = 162+33 = 195

Expression: x= [ (91-7) -67] + (44-2)
Answer:",59.0,59,Answer: x=[84-67] +42 = 17+42 = 59,3,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (22+90) +98] - (86-58)
Answer: x=[112+98] -28 = 210-28 = 182

Expression: x= [ (53-40) -4] + (64+88)
Answer: x=[13-4] +152 = 9+152 = 161

Expression: x= [ (60-27) *9] - (98+37)
Answer: x=[33*9] -135 = 297-135 = 162

Expression: x= [ (9+81) -52] - (16-15)
Answer:",37.0,37,Answer: x=[90-52] -1 = 38-1 = 37,3,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (78+34) +86] - (86-80)
Answer: x=[112+86] -6 = 198-6 = 192

Expression: x= [ (38+95) -7] - (47+27)
Answer: x=[133-7] -74 = 126-74 = 52

Expression: x= [ (22+76) +92] - (63-28)
Answer: x=[98+92] -35 = 190-35 = 155

Expression: x= [ (9*3) -12] * (34+21)
Answer:",825.0,825,Answer: x=[27-12] *55 = 15*55 = 825,3,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (44+71) -50] - (5+55)
Answer: x=[115-50] -60 = 65-60 = 5

Expression: x= [ (93+45) +93] + (47+63)
Answer: x=[138+93] +110 = 231+110 = 341

Expression: x= [ (33+56) -39] + (65+71)
Answer: x=[89-39] +136 = 50+136 = 186

Expression: x= [ (70-18) +18] + (39+53)
Answer:",162.0,162,Answer: x=[52+18] +92 = 70+92 = 162,3,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (85-54) +20] - (40+1)
Answer: x=[31+20] -41 = 51-41 = 10

Expression: x= [ (93+6) +13] - (95-87)
Answer: x=[99+13] -8 = 112-8 = 104

Expression: x= [ (33+51) -52] - (79-56)
Answer: x=[84-52] -23 = 32-23 = 9

Expression: x= [ (91-10) *9] + (71+13)
Answer:",813.0,813,Answer: x=[81*9] +84 = 729+84 = 813,3,True,True
"Solve the following expression as shown in the examples.

Expression: x= [ (78+75) +44] + (78*6)
Answer: x=[153+44] +468 = 197+468 = 665

Expression: x= [ (95-87) *18] - (62-26)
Answer: x=[8*18] -36 = 144-36 = 108

Expression: x= [ (84-51) *25] + (37+79)
Answer: x=[33*25] +116 = 825+116 = 941

Expression: x= [ (50+80) +5] + (38+94)
Answer:",267.0,267,Answer: x=[130+5] +132 = 135+132 = 267,3,True,True
