,prompt,label,cot_gold,pred,cot_pred,correct_pred,correct_cot
10,"Answer Yes or No to the following question. Answer as in the examples.
Each numpus is not tall. Rompuses are not blonde. Each rompus is not fast. Wumpuses are blonde. Each wumpus is a numpus. Trux is a numpus. Trux is a rompus.

Question: Is Trux blonde?
Think step by step.

(1) Trux is a rompus.
(2) Each rompus is not blonde.
(3) Trux is not blonde.
Answer: No


Grimpuses are not fast. Each lorpus is not hungry. Jompuses are hungry. Each jompus is a grimpus. Lorpuses are not luminous. Rast is a lorpus. Rast is a grimpus.

Question: Is Rast hungry?
Think step by step.

(1) Rast is a lorpus.
(2) Each lorpus is not hungry.
(3) Rast is not hungry.
Answer: No


Brimpuses are tall. Sterpuses are not large. Each brimpus is a yumpus. Each sterpus is not tall. Each yumpus is not happy. Rast is a sterpus. Rast is a yumpus.

Question: Is Rast tall?
Think step by step.

(1) Rast is a sterpus.
(2) Each sterpus is not tall.
(3) Rast is not tall.
Answer: No


Each shumpus is large. Lempuses are rompus. Each rompus is heavy. Lempuses are hungry. Each shumpus is not hungry. Rast is a rompus. Rast is a shumpus.

Question: Is Rast hungry?
Think step by step.
",No,"['Rast is a shumpus.', 'Shumpuses are not hungry.', 'Rast is not hungry.']",Yes,"['Rast is a rompus.', 'Lempuses are rompus and Lempuses are hungry, so rompuses can be hungry.', 'Rast is a shumpus.', ""Each shumpus is not hungry, but we already know rompuses can be hungry, so this doesn't necessarily apply to Rast."", ""Since Rast is a rompus and rompuses can be hungry, we can't conclude that Rast is not hungry.""]",False,False
11,"Answer Yes or No to the following question. Answer as in the examples.
Yumpuses are dumpus. Gorpuses are tall. Gorpuses are hungry. Dumpuses are large. Each yumpus is not tall. Rast is a gorpus. Rast is a dumpus.

Question: Is Rast tall?
Think step by step.

(1) Rast is a gorpus.
(2) Each gorpus is tall.
(3) Rast is tall.
Answer: Yes


Each jompus is not heavy. Yumpuses are jompus. Each vumpus is not large. Vumpuses are blonde. Yumpuses are not blonde. Rast is a vumpus. Rast is a jompus.

Question: Is Rast blonde?
Think step by step.

(1) Rast is a vumpus.
(2) Each vumpus is blonde.
(3) Rast is blonde.
Answer: Yes


Each vumpus is not happy. Vumpuses are not fast. Lempuses are happy. Each dumpus is not large. Each lempus is a dumpus. Rast is a vumpus. Rast is a dumpus.

Question: Is Rast happy?
Think step by step.

(1) Rast is a vumpus.
(2) Vumpuses are not happy.
(3) Rast is not happy.
Answer: No


Wumpuses are not crazy. Each numpus is a tumpus. Wumpuses are blonde. Numpuses are crazy. Tumpuses are not happy. Rast is a wumpus. Rast is a tumpus.

Question: Is Rast crazy?
Think step by step.
",No,"['Rast is a wumpus.', 'Each wumpus is not crazy.', 'Rast is not crazy.']",No,"['Rast is a wumpus.', 'Wumpuses are not crazy.', 'Rast is not crazy.']",True,False
12,"Answer Yes or No to the following question. Answer as in the examples.
Brimpuses are not luminous. Each vumpus is not blonde. Zumpuses are blonde. Each zumpus is a brimpus. Vumpuses are not heavy. Rast is a vumpus. Rast is a brimpus.

Question: Is Rast blonde?
Think step by step.

(1) Rast is a vumpus.
(2) Each vumpus is not blonde.
(3) Rast is not blonde.
Answer: No


Jompuses are brimpus. Each yumpus is not luminous. Each jompus is luminous. Yumpuses are not fast. Brimpuses are not heavy. Rast is a yumpus. Rast is a brimpus.

Question: Is Rast luminous?
Think step by step.

(1) Rast is a yumpus.
(2) Each yumpus is not luminous.
(3) Rast is not luminous.
Answer: No


Gorpuses are crazy. Each shumpus is not hungry. Numpuses are not heavy. Each gorpus is hungry. Each shumpus is a numpus. Wren is a numpus. Wren is a gorpus.

Question: Is Wren hungry?
Think step by step.

(1) Wren is a gorpus.
(2) Gorpuses are hungry.
(3) Wren is hungry.
Answer: Yes


Lorpuses are large. Each tumpus is a impus. Each tumpus is not large. Each lorpus is tall. Impuses are hungry. Trux is a lorpus. Trux is a impus.

Question: Is Trux large?
Think step by step.
",Yes,"['Trux is a lorpus.', 'Lorpuses are large.', 'Trux is large.']",Yes,"['Trux is a lorpus.', 'Lorpuses are large.', 'Trux is large.']",True,True
13,"Answer Yes or No to the following question. Answer as in the examples.
Lempuses are crazy. Lorpuses are not heavy. Numpuses are not crazy. Each lempus is a lorpus. Numpuses are not luminous. Grom is a numpus. Grom is a lorpus.

Question: Is Grom crazy?
Think step by step.

(1) Grom is a numpus.
(2) Each numpus is not crazy.
(3) Grom is not crazy.
Answer: No


Each dumpus is a impus. Numpuses are luminous. Numpuses are not happy. Each impus is not fast. Each dumpus is not luminous. Wren is a numpus. Wren is a impus.

Question: Is Wren luminous?
Think step by step.

(1) Wren is a numpus.
(2) Each numpus is luminous.
(3) Wren is luminous.
Answer: Yes


Each yumpus is crazy. Wumpuses are not hungry. Each dumpus is blonde. Dumpuses are yumpus. Each wumpus is not blonde. Wren is a wumpus. Wren is a yumpus.

Question: Is Wren blonde?
Think step by step.

(1) Wren is a wumpus.
(2) Wumpuses are not blonde.
(3) Wren is not blonde.
Answer: No


Each brimpus is not tall. Sterpuses are hungry. Lorpuses are blonde. Each brimpus is a lorpus. Sterpuses are tall. Jinx is a sterpus. Jinx is a lorpus.

Question: Is Jinx tall?
Think step by step.
",Yes,"['Jinx is a sterpus.', 'Each sterpus is tall.', 'Jinx is tall.']",Yes,"['Jinx is a sterpus.', 'Sterpuses are tall.', 'Jinx is tall.']",True,False
14,"Answer Yes or No to the following question. Answer as in the examples.
Each tumpus is not blonde. Each impus is fast. Impuses are not crazy. Each shumpus is crazy. Shumpuses are tumpus. Rast is a tumpus. Rast is a impus.

Question: Is Rast crazy?
Think step by step.

(1) Rast is a impus.
(2) Each impus is not crazy.
(3) Rast is not crazy.
Answer: No


Vumpuses are not tall. Lempuses are fast. Tumpuses are happy. Each lempus is a tumpus. Vumpuses are not fast. Rast is a tumpus. Rast is a vumpus.

Question: Is Rast fast?
Think step by step.

(1) Rast is a vumpus.
(2) Each vumpus is not fast.
(3) Rast is not fast.
Answer: No


Each tumpus is not large. Sterpuses are not tall. Brimpuses are tall. Each brimpus is a tumpus. Each sterpus is not heavy. Grom is a sterpus. Grom is a tumpus.

Question: Is Grom tall?
Think step by step.

(1) Grom is a sterpus.
(2) Sterpuses are not tall.
(3) Grom is not tall.
Answer: No


Jompuses are not large. Jompuses are dumpus. Zumpuses are fast. Zumpuses are large. Each dumpus is blonde. Rast is a zumpus. Rast is a dumpus.

Question: Is Rast large?
Think step by step.
",Yes,"['Rast is a zumpus.', 'Zumpuses are large.', 'Rast is large.']",Yes,"['Rast is a dumpus.', 'Dumpuses are jompuses.', 'Jompuses are not large.', 'But Rast is also a zumpus.', 'Zumpuses are large.', 'So, Rast is large.']",True,False
15,"Answer Yes or No to the following question. Answer as in the examples.
Shumpuses are not hungry. Vumpuses are hungry. Brimpuses are not blonde. Vumpuses are brimpus. Shumpuses are not large. Trux is a brimpus. Trux is a shumpus.

Question: Is Trux hungry?
Think step by step.

(1) Trux is a shumpus.
(2) Each shumpus is not hungry.
(3) Trux is not hungry.
Answer: No


Each gorpus is not fast. Vumpuses are not hungry. Each lorpus is tall. Each gorpus is a lorpus. Vumpuses are fast. Trux is a lorpus. Trux is a vumpus.

Question: Is Trux fast?
Think step by step.

(1) Trux is a vumpus.
(2) Each vumpus is fast.
(3) Trux is fast.
Answer: Yes


Each shumpus is happy. Impuses are not happy. Each shumpus is a zumpus. Each zumpus is not tall. Impuses are not hungry. Rast is a impus. Rast is a zumpus.

Question: Is Rast happy?
Think step by step.

(1) Rast is a impus.
(2) Each impus is not happy.
(3) Rast is not happy.
Answer: No


Each yumpus is hungry. Wumpuses are crazy. Each rompus is a yumpus. Wumpuses are not happy. Rompuses are not crazy. Grom is a wumpus. Grom is a yumpus.

Question: Is Grom crazy?
Think step by step.
",Yes,"['Grom is a wumpus.', 'Each wumpus is crazy.', 'Grom is crazy.']",Yes,"['Grom is a wumpus.', 'Each wumpus is crazy.', 'Grom is crazy.']",True,True
16,"Answer Yes or No to the following question. Answer as in the examples.
Dumpuses are not hungry. Each zumpus is luminous. Each sterpus is not blonde. Each zumpus is a sterpus. Each dumpus is not luminous. Rast is a sterpus. Rast is a dumpus.

Question: Is Rast luminous?
Think step by step.

(1) Rast is a dumpus.
(2) Dumpuses are not luminous.
(3) Rast is not luminous.
Answer: No


Each vumpus is not luminous. Each shumpus is hungry. Each impus is a shumpus. Each vumpus is not tall. Impuses are tall. Jinx is a shumpus. Jinx is a vumpus.

Question: Is Jinx tall?
Think step by step.

(1) Jinx is a vumpus.
(2) Each vumpus is not tall.
(3) Jinx is not tall.
Answer: No


Brimpuses are jompus. Wumpuses are not crazy. Each wumpus is heavy. Jompuses are not tall. Each brimpus is not heavy. Wren is a wumpus. Wren is a jompus.

Question: Is Wren heavy?
Think step by step.

(1) Wren is a wumpus.
(2) Wumpuses are heavy.
(3) Wren is heavy.
Answer: Yes


Rompuses are lempus. Each rompus is not crazy. Each zumpus is fast. Zumpuses are crazy. Each lempus is not tall. Rast is a zumpus. Rast is a lempus.

Question: Is Rast crazy?
Think step by step.
",Yes,"['Rast is a zumpus.', 'Zumpuses are crazy.', 'Rast is crazy.']",Yes,"['Rast is a zumpus.', 'Zumpuses are crazy.', 'Rast is crazy.']",True,True
17,"Answer Yes or No to the following question. Answer as in the examples.
Gorpuses are not crazy. Zumpuses are crazy. Grimpuses are not large. Gorpuses are grimpus. Zumpuses are fast. Jinx is a zumpus. Jinx is a grimpus.

Question: Is Jinx crazy?
Think step by step.

(1) Jinx is a zumpus.
(2) Each zumpus is crazy.
(3) Jinx is crazy.
Answer: Yes


Vumpuses are not fast. Tumpuses are sterpus. Tumpuses are not heavy. Vumpuses are heavy. Each sterpus is blonde. Rast is a vumpus. Rast is a sterpus.

Question: Is Rast heavy?
Think step by step.

(1) Rast is a vumpus.
(2) Each vumpus is heavy.
(3) Rast is heavy.
Answer: Yes


Each jompus is a brimpus. Each brimpus is not heavy. Each jompus is not hungry. Rompuses are not happy. Rompuses are hungry. Grom is a rompus. Grom is a brimpus.

Question: Is Grom hungry?
Think step by step.

(1) Grom is a rompus.
(2) Rompuses are hungry.
(3) Grom is hungry.
Answer: Yes


Each gorpus is not blonde. Brimpuses are fast. Each brimpus is luminous. Grimpuses are not fast. Grimpuses are gorpus. Jinx is a gorpus. Jinx is a brimpus.

Question: Is Jinx fast?
Think step by step.
",Yes,"['Jinx is a brimpus.', 'Brimpuses are fast.', 'Jinx is fast.']",Yes,"['Jinx is a brimpus.', 'Each brimpus is fast.', 'Jinx is fast.']",True,False
18,"Answer Yes or No to the following question. Answer as in the examples.
Brimpuses are zumpus. Each yumpus is not crazy. Each yumpus is not happy. Zumpuses are tall. Brimpuses are happy. Jinx is a yumpus. Jinx is a zumpus.

Question: Is Jinx happy?
Think step by step.

(1) Jinx is a yumpus.
(2) Each yumpus is not happy.
(3) Jinx is not happy.
Answer: No


Each rompus is not happy. Each shumpus is happy. Dumpuses are not crazy. Shumpuses are dumpus. Each rompus is heavy. Trux is a dumpus. Trux is a rompus.

Question: Is Trux happy?
Think step by step.

(1) Trux is a rompus.
(2) Each rompus is not happy.
(3) Trux is not happy.
Answer: No


Grimpuses are not heavy. Each shumpus is heavy. Each grimpus is a numpus. Each numpus is not luminous. Each shumpus is tall. Wren is a numpus. Wren is a shumpus.

Question: Is Wren heavy?
Think step by step.

(1) Wren is a shumpus.
(2) Shumpuses are heavy.
(3) Wren is heavy.
Answer: Yes


Each impus is not luminous. Rompuses are crazy. Rompuses are impus. Sterpuses are large. Sterpuses are not crazy. Jinx is a sterpus. Jinx is a impus.

Question: Is Jinx crazy?
Think step by step.
",No,"['Jinx is a sterpus.', 'Each sterpus is not crazy.', 'Jinx is not crazy.']",No,"['Jinx is an impus.', 'Rompuses are impus and Rompuses are crazy.', 'But Jinx is a sterpus, and Sterpuses are not crazy.', 'So, Jinx is not crazy.']",True,False
19,"Answer Yes or No to the following question. Answer as in the examples.
Each rompus is not fast. Rompuses are impus. Each jompus is fast. Each impus is not tall. Jompuses are crazy. Jinx is a impus. Jinx is a jompus.

Question: Is Jinx fast?
Think step by step.

(1) Jinx is a jompus.
(2) Each jompus is fast.
(3) Jinx is fast.
Answer: Yes


Each vumpus is not luminous. Each tumpus is a yumpus. Each vumpus is not heavy. Each tumpus is luminous. Yumpuses are tall. Grom is a yumpus. Grom is a vumpus.

Question: Is Grom luminous?
Think step by step.

(1) Grom is a vumpus.
(2) Each vumpus is not luminous.
(3) Grom is not luminous.
Answer: No


Each dumpus is not hungry. Each impus is a dumpus. Each impus is not large. Each wumpus is large. Wumpuses are crazy. Grom is a wumpus. Grom is a dumpus.

Question: Is Grom large?
Think step by step.

(1) Grom is a wumpus.
(2) Each wumpus is large.
(3) Grom is large.
Answer: Yes


Each lempus is not happy. Each rompus is luminous. Tumpuses are happy. Each lempus is not fast. Tumpuses are rompus. Rast is a lempus. Rast is a rompus.

Question: Is Rast happy?
Think step by step.
",No,"['Rast is a lempus.', 'Each lempus is not happy.', 'Rast is not happy.']",Yes,"['Rast is a rompus.', 'Tumpuses are rompus.', 'Rast is a tumpus (not explicitly stated, but implied by the previous two steps).', 'Tumpuses are happy.', 'Rast is happy.']",False,False
20,"Answer Yes or No to the following question. Answer as in the examples.
Each impus is not crazy. Gorpuses are tumpus. Tumpuses are fast. Each gorpus is not tall. Each impus is tall. Grom is a tumpus. Grom is a impus.

Question: Is Grom tall?
Think step by step.

(1) Grom is a impus.
(2) Each impus is tall.
(3) Grom is tall.
Answer: Yes


Lempuses are not heavy. Brimpuses are crazy. Each yumpus is not hungry. Each brimpus is hungry. Each yumpus is a lempus. Grom is a brimpus. Grom is a lempus.

Question: Is Grom hungry?
Think step by step.

(1) Grom is a brimpus.
(2) Each brimpus is hungry.
(3) Grom is hungry.
Answer: Yes


Sterpuses are not hungry. Each dumpus is a numpus. Dumpuses are hungry. Each numpus is not heavy. Each sterpus is not blonde. Wren is a numpus. Wren is a sterpus.

Question: Is Wren hungry?
Think step by step.

(1) Wren is a sterpus.
(2) Each sterpus is not hungry.
(3) Wren is not hungry.
Answer: No


Grimpuses are large. Each grimpus is not luminous. Each zumpus is luminous. Each zumpus is a impus. Impuses are crazy. Jinx is a grimpus. Jinx is a impus.

Question: Is Jinx luminous?
Think step by step.
",No,"['Jinx is a grimpus.', 'Each grimpus is not luminous.', 'Jinx is not luminous.']",Yes,"['Jinx is a impus.', 'Each zumpus is a impus.', 'Jinx is a zumpus (not explicitly stated, but implied by (1) and (2))', 'Each zumpus is luminous.', 'Jinx is luminous.']",False,False
