,prompt,label,cot_gold,pred,cot_pred,correct_pred,correct_cot
10,"Answer Yes or No to the following question. Answer as in the examples.
Rompuses are not happy. Each jompus is a lempus. Rompuses are not hungry. Lempuses are large. Jompuses are happy. Rast is a rompus. Rast is a lempus.

Question: Is Rast happy?

Answer: No


Each sterpus is tall. Sterpuses are vumpus. Each gorpus is not tall. Each vumpus is blonde. Gorpuses are not luminous. Rast is a vumpus. Rast is a gorpus.

Question: Is Rast tall?
",No,"['Rast is a gorpus.', 'Gorpuses are not tall.', 'Rast is not tall.']",No,[],True,True
11,"Answer Yes or No to the following question. Answer as in the examples.
Numpuses are not crazy. Rompuses are blonde. Rompuses are jompus. Numpuses are not blonde. Each jompus is luminous. Wren is a jompus. Wren is a numpus.

Question: Is Wren blonde?

Answer: No


Wumpuses are tall. Lempuses are blonde. Lempuses are vumpus. Vumpuses are not heavy. Each wumpus is not blonde. Trux is a vumpus. Trux is a wumpus.

Question: Is Trux blonde?
",No,"['Trux is a wumpus.', 'Each wumpus is not blonde.', 'Trux is not blonde.']",No,[],True,True
12,"Answer Yes or No to the following question. Answer as in the examples.
Lorpuses are not hungry. Tumpuses are blonde. Jompuses are not blonde. Jompuses are lorpus. Tumpuses are tall. Rast is a tumpus. Rast is a lorpus.

Question: Is Rast blonde?

Answer: Yes


Each brimpus is luminous. Each brimpus is hungry. Each tumpus is a grimpus. Grimpuses are tall. Each tumpus is not luminous. Jinx is a grimpus. Jinx is a brimpus.

Question: Is Jinx luminous?
",Yes,"['Jinx is a brimpus.', 'Each brimpus is luminous.', 'Jinx is luminous.']",NaN,[],False,True
13,"Answer Yes or No to the following question. Answer as in the examples.
Each sterpus is a yumpus. Each sterpus is not luminous. Yumpuses are not happy. Each tumpus is luminous. Each tumpus is hungry. Trux is a yumpus. Trux is a tumpus.

Question: Is Trux luminous?

Answer: Yes


Each lorpus is blonde. Each tumpus is happy. Shumpuses are heavy. Shumpuses are not happy. Tumpuses are lorpus. Rast is a shumpus. Rast is a lorpus.

Question: Is Rast happy?
",No,"['Rast is a shumpus.', 'Shumpuses are not happy.', 'Rast is not happy.']",No,[],True,True
14,"Answer Yes or No to the following question. Answer as in the examples.
Gorpuses are not heavy. Each gorpus is luminous. Wumpuses are crazy. Each numpus is heavy. Each numpus is a wumpus. Jinx is a wumpus. Jinx is a gorpus.

Question: Is Jinx heavy?

Answer: No


Each grimpus is not tall. Each brimpus is happy. Each lorpus is not happy. Each lorpus is crazy. Each brimpus is a grimpus. Wren is a lorpus. Wren is a grimpus.

Question: Is Wren happy?
",No,"['Wren is a lorpus.', 'Lorpuses are not happy.', 'Wren is not happy.']",Yes,[],False,True
15,"Answer Yes or No to the following question. Answer as in the examples.
Each lempus is a gorpus. Brimpuses are fast. Lempuses are not fast. Brimpuses are not luminous. Gorpuses are large. Jinx is a gorpus. Jinx is a brimpus.

Question: Is Jinx fast?

Answer: Yes


Each impus is not hungry. Wumpuses are hungry. Wumpuses are fast. Shumpuses are luminous. Impuses are shumpus. Grom is a shumpus. Grom is a wumpus.

Question: Is Grom hungry?
",Yes,"['Grom is a wumpus.', 'Wumpuses are hungry.', 'Grom is hungry.']",NaN,[],False,True
16,"Answer Yes or No to the following question. Answer as in the examples.
Each rompus is not crazy. Grimpuses are not fast. Yumpuses are crazy. Each yumpus is a grimpus. Rompuses are large. Grom is a grimpus. Grom is a rompus.

Question: Is Grom crazy?

Answer: No


Each zumpus is crazy. Yumpuses are not blonde. Yumpuses are shumpus. Zumpuses are blonde. Each shumpus is heavy. Wren is a zumpus. Wren is a shumpus.

Question: Is Wren blonde?
",Yes,"['Wren is a zumpus.', 'Zumpuses are blonde.', 'Wren is blonde.']",NaN,[],False,True
17,"Answer Yes or No to the following question. Answer as in the examples.
Each lempus is not blonde. Gorpuses are crazy. Zumpuses are gorpus. Zumpuses are blonde. Each lempus is not fast. Trux is a gorpus. Trux is a lempus.

Question: Is Trux blonde?

Answer: No


Each impus is not hungry. Lorpuses are hungry. Each impus is not crazy. Grimpuses are not happy. Each lorpus is a grimpus. Jinx is a impus. Jinx is a grimpus.

Question: Is Jinx hungry?
",No,"['Jinx is a impus.', 'Each impus is not hungry.', 'Jinx is not hungry.']",NaN,[],False,True
18,"Answer Yes or No to the following question. Answer as in the examples.
Jompuses are not blonde. Each jompus is large. Dumpuses are shumpus. Dumpuses are blonde. Shumpuses are not happy. Trux is a shumpus. Trux is a jompus.

Question: Is Trux blonde?

Answer: No


Each yumpus is a brimpus. Sterpuses are not fast. Yumpuses are fast. Sterpuses are heavy. Brimpuses are not crazy. Wren is a brimpus. Wren is a sterpus.

Question: Is Wren fast?
",No,"['Wren is a sterpus.', 'Each sterpus is not fast.', 'Wren is not fast.']",NaN,[],False,True
19,"Answer Yes or No to the following question. Answer as in the examples.
Each tumpus is a yumpus. Each impus is heavy. Impuses are hungry. Yumpuses are not crazy. Tumpuses are not heavy. Wren is a impus. Wren is a yumpus.

Question: Is Wren heavy?

Answer: Yes


Lempuses are gorpus. Lempuses are not fast. Each dumpus is not crazy. Gorpuses are blonde. Dumpuses are fast. Wren is a dumpus. Wren is a gorpus.

Question: Is Wren fast?
",Yes,"['Wren is a dumpus.', 'Dumpuses are fast.', 'Wren is fast.']",Yes,[],True,True
20,"Answer Yes or No to the following question. Answer as in the examples.
Each numpus is a zumpus. Each zumpus is not hungry. Tumpuses are not crazy. Tumpuses are happy. Each numpus is not happy. Grom is a tumpus. Grom is a zumpus.

Question: Is Grom happy?

Answer: Yes


Lempuses are not happy. Wumpuses are not fast. Each lorpus is not tall. Lempuses are fast. Each wumpus is a lorpus. Rast is a lorpus. Rast is a lempus.

Question: Is Rast fast?
",Yes,"['Rast is a lempus.', 'Each lempus is fast.', 'Rast is fast.']",Yes,[],True,True
21,"Answer Yes or No to the following question. Answer as in the examples.
Shumpuses are not hungry. Each tumpus is not large. Each impus is hungry. Shumpuses are tumpus. Impuses are not fast. Grom is a impus. Grom is a tumpus.

Question: Is Grom hungry?

Answer: Yes


Lempuses are not happy. Each vumpus is not hungry. Lempuses are heavy. Grimpuses are happy. Each grimpus is a vumpus. Grom is a vumpus. Grom is a lempus.

Question: Is Grom happy?
",No,"['Grom is a lempus.', 'Lempuses are not happy.', 'Grom is not happy.']",No,[],True,True
22,"Answer Yes or No to the following question. Answer as in the examples.
Each wumpus is a gorpus. Gorpuses are not hungry. Rompuses are not heavy. Each rompus is not blonde. Wumpuses are blonde. Wren is a rompus. Wren is a gorpus.

Question: Is Wren blonde?

Answer: No


Each yumpus is a sterpus. Each yumpus is crazy. Shumpuses are not large. Each shumpus is not crazy. Each sterpus is happy. Jinx is a sterpus. Jinx is a shumpus.

Question: Is Jinx crazy?
",No,"['Jinx is a shumpus.', 'Each shumpus is not crazy.', 'Jinx is not crazy.']",NaN,[],False,True
23,"Answer Yes or No to the following question. Answer as in the examples.
Numpuses are shumpus. Each shumpus is fast. Each gorpus is happy. Each gorpus is crazy. Numpuses are not happy. Jinx is a gorpus. Jinx is a shumpus.

Question: Is Jinx happy?

Answer: Yes


Each impus is large. Each jompus is not large. Impuses are not heavy. Rompuses are hungry. Jompuses are rompus. Rast is a rompus. Rast is a impus.

Question: Is Rast large?
",Yes,"['Rast is a impus.', 'Each impus is large.', 'Rast is large.']",NaN,[],False,True
24,"Answer Yes or No to the following question. Answer as in the examples.
Each lempus is crazy. Each lorpus is heavy. Each lorpus is fast. Each yumpus is not fast. Each yumpus is a lempus. Rast is a lorpus. Rast is a lempus.

Question: Is Rast fast?

Answer: Yes


Each jompus is a numpus. Numpuses are not heavy. Each yumpus is not blonde. Each yumpus is not hungry. Jompuses are hungry. Jinx is a numpus. Jinx is a yumpus.

Question: Is Jinx hungry?
",No,"['Jinx is a yumpus.', 'Each yumpus is not hungry.', 'Jinx is not hungry.']",NaN,[],False,True
25,"Answer Yes or No to the following question. Answer as in the examples.
Numpuses are luminous. Numpuses are not crazy. Each rompus is not blonde. Zumpuses are rompus. Zumpuses are not luminous. Grom is a rompus. Grom is a numpus.

Question: Is Grom luminous?

Answer: Yes


Each gorpus is tall. Numpuses are not heavy. Each lempus is not luminous. Each gorpus is heavy. Numpuses are lempus. Wren is a gorpus. Wren is a lempus.

Question: Is Wren heavy?
",Yes,"['Wren is a gorpus.', 'Gorpuses are heavy.', 'Wren is heavy.']",Yes,[],True,True
26,"Answer Yes or No to the following question. Answer as in the examples.
Each numpus is happy. Jompuses are yumpus. Yumpuses are not tall. Jompuses are not happy. Numpuses are luminous. Jinx is a yumpus. Jinx is a numpus.

Question: Is Jinx happy?

Answer: Yes


Each lempus is not fast. Each lempus is blonde. Lorpuses are heavy. Shumpuses are lorpus. Each shumpus is fast. Grom is a lorpus. Grom is a lempus.

Question: Is Grom fast?
",No,"['Grom is a lempus.', 'Lempuses are not fast.', 'Grom is not fast.']",NaN,[],False,True
27,"Answer Yes or No to the following question. Answer as in the examples.
Each numpus is not heavy. Numpuses are not blonde. Jompuses are crazy. Each rompus is a jompus. Each rompus is heavy. Grom is a jompus. Grom is a numpus.

Question: Is Grom heavy?

Answer: No


Gorpuses are not happy. Each dumpus is tall. Vumpuses are not heavy. Each dumpus is heavy. Vumpuses are gorpus. Trux is a gorpus. Trux is a dumpus.

Question: Is Trux heavy?
",Yes,"['Trux is a dumpus.', 'Dumpuses are heavy.', 'Trux is heavy.']",Yes,[],True,True
28,"Answer Yes or No to the following question. Answer as in the examples.
Each lorpus is large. Each wumpus is happy. Lorpuses are luminous. Each grimpus is a wumpus. Each grimpus is not luminous. Trux is a wumpus. Trux is a lorpus.

Question: Is Trux luminous?

Answer: Yes


Each lempus is luminous. Brimpuses are not blonde. Grimpuses are lempus. Grimpuses are not happy. Each brimpus is happy. Trux is a lempus. Trux is a brimpus.

Question: Is Trux happy?
",Yes,"['Trux is a brimpus.', 'Brimpuses are happy.', 'Trux is happy.']",Yes,[],True,True
29,"Answer Yes or No to the following question. Answer as in the examples.
Each lempus is a gorpus. Lempuses are heavy. Each vumpus is not heavy. Each gorpus is not crazy. Vumpuses are not luminous. Jinx is a vumpus. Jinx is a gorpus.

Question: Is Jinx heavy?

Answer: No


Wumpuses are blonde. Lorpuses are not luminous. Lorpuses are crazy. Tumpuses are not crazy. Each tumpus is a wumpus. Rast is a wumpus. Rast is a lorpus.

Question: Is Rast crazy?
",Yes,"['Rast is a lorpus.', 'Each lorpus is crazy.', 'Rast is crazy.']",NaN,[],False,True
